Provinsi;[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi;;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
ACEH;67.09;67.45;67.81;68.30;68.81;69.45;70;70.60;71.19;71.90
SUMATERA UTARA;67.09;67.34;67.74;68.36;68.87;69.51;70;70.57;71.18;71.74
SUMATERA BARAT;67.25;67.81;68.36;68.91;69.36;69.98;70.73;71.24;71.73;72.39
RIAU;68.65;68.90;69.15;69.91;70.33;70.84;71.20;71.79;72.44;73
JAMBI;65.39;66.14;66.94;67.76;68.24;68.89;69.62;69.99;70.65;71.26
SUMATERA SELATAN;64.44;65.12;65.79;66.16;66.75;67.46;68.24;68.86;69.39;70.02
BENGKULU;65.35;65.96;66.61;67.50;68.06;68.59;69.33;69.95;70.64;71.21
LAMPUNG;63.71;64.20;64.87;65.73;66.42;66.95;67.65;68.25;69.02;69.57
KEP. BANGKA BELITUNG;66.02;66.59;67.21;67.92;68.27;69.05;69.55;69.99;70.67;71.30
KEP. RIAU;71.13;71.61;72.36;73.02;73.40;73.75;73.99;74.45;74.84;75.48
DKI JAKARTA;76.31;76.98;77.53;78.08;78.39;78.99;79.60;80.06;80.47;80.76
JAWA BARAT;66.15;66.67;67.32;68.25;68.80;69.50;70.05;70.69;71.30;72.03
JAWA TENGAH;66.08;66.64;67.21;68.02;68.78;69.49;69.98;70.52;71.12;71.73
DI YOGYAKARTA;75.37;75.93;76.15;76.44;76.81;77.59;78.38;78.89;79.53;79.99
JAWA TIMUR;65.36;66.06;66.74;67.55;68.14;68.95;69.74;70.27;70.77;71.50
BANTEN;67.54;68.22;68.92;69.47;69.89;70.27;70.96;71.42;71.95;72.44
BALI;70.10;70.87;71.62;72.09;72.48;73.27;73.65;74.30;74.77;75.38
NUSA TENGGARA BARAT;61.16;62.14;62.98;63.76;64.31;65.19;65.81;66.58;67.30;68.14
NUSA TENGGARA TIMUR;59.21;60.24;60.81;61.68;62.26;62.67;63.13;63.73;64.39;65.23
KALIMANTAN BARAT;61.97;62.35;63.41;64.30;64.89;65.59;65.88;66.26;66.98;67.65
KALIMANTAN TENGAH;65.96;66.38;66.66;67.41;67.77;68.53;69.13;69.79;70.42;70.91
KALIMANTAN SELATAN;65.20;65.89;66.68;67.17;67.63;68.38;69.05;69.65;70.17;70.72
KALIMANTAN TIMUR;71.31;72.02;72.62;73.21;73.82;74.17;74.59;75.12;75.83;76.61
KALIMANTAN UTARA;-;-;-;67.99;68.64;68.76;69.20;69.84;70.56;71.15
SULAWESI UTARA;67.83;68.31;69.04;69.49;69.96;70.39;71.05;71.66;72.20;72.99
SULAWESI TENGAH;63.29;64.27;65;65.79;66.43;66.76;67.47;68.11;68.88;69.50
SULAWESI SELATAN;66;66.65;67.26;67.92;68.49;69.15;69.76;70.34;70.90;71.66
SULAWESI TENGGARA;65.99;66.52;67.07;67.55;68.07;68.75;69.31;69.86;70.61;71.20
GORONTALO;62.65;63.48;64.16;64.70;65.17;65.86;66.29;67.01;67.71;68.49
SULAWESI BARAT;59.74;60.63;61.01;61.53;62.24;62.96;63.60;64.30;65.10;65.73
MALUKU;64.27;64.75;65.43;66.09;66.74;67.05;67.60;68.19;68.87;69.45
MALUKU UTARA;62.79;63.19;63.93;64.78;65.18;65.91;66.63;67.20;67.76;68.70
PAPUA BARAT;59.60;59.90;60.30;60.91;61.28;61.73;62.21;62.99;63.74;64.70
PAPUA;54.45;55.01;55.55;56.25;56.75;57.25;58.05;59.09;60.06;60.84
INDONESIA;66.53;67.09;67.70;68.31;68.90;69.55;70.18;70.81;71.39;71.92
